1,0,307.74,483.60,-296.99,-464.00,0.37,-1,-1,-1
1,0,313.94,389.63,-284.06,-354.27,0.10,-1,-1,-1
1,0,148.42,523.21,-144.43,-517.00,0.12,-1,-1,-1
1,0,186.36,328.55,-174.76,-311.73,0.14,-1,-1,-1

2,0,306.84,486.19,-295.65,-464.33,0.27,-1,-1,-1
2,0,432.22,831.16,-415.96,-809.75,0.17,-1,-1,-1
2,0,175.15,369.27,-155.07,-352.84,0.13,-1,-1,-1
2,0,314.10,389.70,-284.79,-355.90,0.11,-1,-1,-1
2,0,204.67,629.77,-199.39,-622.46,0.10,-1,-1,-1

3,0,430.94,839.74,-412.43,-820.70,0.24,-1,-1,-1
3,0,306.47,489.55,-293.70,-467.10,0.25,-1,-1,-1
3,0,175.36,370.30,-154.97,-353.33,0.13,-1,-1,-1
3,0,315.24,389.76,-289.50,-366.01,0.12,-1,-1,-1
3,0,100.67,206.50,-89.12,-191.23,0.11,-1,-1,-1
3,0,463.29,393.93,-452.97,-384.12,0.14,-1,-1,-1

4,0,172.86,370.99,-150.36,-353.31,0.13,-1,-1,-1
4,0,305.85,493.64,-293.97,-470.40,0.13,-1,-1,-1
4,0,427.97,844.67,-409.45,-834.10,0.12,-1,-1,-1
4,0,463.82,397.26,-451.32,-387.81,0.13,-1,-1,-1
4,0,460.66,825.11,-456.47,-816.06,0.10,-1,-1,-1

5,0,305.44,499.02,-295.46,-478.71,0.14,-1,-1,-1
5,0,170.85,372.72,-153.60,-357.23,0.13,-1,-1,-1
5,0,185.33,783.66,-180.49,-776.23,0.10,-1,-1,-1
5,0,462.37,177.00,-458.34,-170.15,0.11,-1,-1,-1

6,0,306.19,502.22,-294.80,-478.29,0.18,-1,-1,-1
6,0,399.76,370.99,-374.89,-353.54,0.16,-1,-1,-1
6,0,241.45,228.29,-234.62,-219.28,0.11,-1,-1,-1
6,0,419.24,144.73,-408.91,-135.45,0.13,-1,-1,-1
6,0,158.57,329.94,-144.60,-316.71,0.11,-1,-1,-1
6,0,183.28,793.20,-178.51,-785.03,0.17,-1,-1,-1
6,0,474.17,735.80,-466.35,-719.79,0.11,-1,-1,-1

7,0,306.37,505.71,-294.15,-480.54,0.19,-1,-1,-1
7,0,243.11,228.89,-236.40,-219.86,0.11,-1,-1,-1
7,0,324.56,225.09,-315.11,-216.29,0.12,-1,-1,-1
